Treponema pallidum
Treponema denticola
Spirochaeta africana
Spirochaeta thermophila
Borrelia turcica
Borrelia miyamotoi
Borrelia recurrentis
Borrelia duttonii
Borrelia crocidurae
Borrelia anserina
Borrelia turicatae
Borrelia parkeri
Borrelia hermsii
Borrelia mayonii
Borreliella chilensis
Borreliella bavariensis
Borreliella bissettii
Borreliella valaisiana
Borreliella garinii
Borreliella afzelii
Borreliella burgdorferi
Victivallales bacterium CCUG 44730
Kiritimatiella glycovorans
Candidatus Xiphinematobacter sp. Idaho Grape
Verrucomicrobia bacterium
Verrucomicrobia bacterium IMCC26134
unclassified Verrucomicrobia (miscellaneous)
Methylacidiphilum infernorum
Akkermansia glycaniphila
Akkermansia muciniphila
Coraliomargarita akajimensis
Lacunisphaera limnophila
Opitutaceae bacterium TAV5
Opitutus terrae
Simkania negevensis
Candidatus Protochlamydia naegleriophila
Candidatus Protochlamydia amoebophila
Candidatus Protochlamydia
Parachlamydia acanthamoebae
Waddlia chondrophila
Chlamydia sp. S15-834C
Chlamydia gallinacea
Chlamydia avium
Chlamydia pecorum
Chlamydia muridarum
Chlamydia pneumoniae
Chlamydia caviae
Chlamydia felis
Chlamydia abortus
Chlamydia psittaci
Chlamydia trachomatis
Sedimentisphaera salicampi
Sedimentisphaera cyanobacteriorum
Phycisphaerae bacterium SM-Chi-D1
Phycisphaera mikurensis
Candidatus Kuenenia stuttgartiensis
Paludisphaera borealis
Singulisphaera acidiphila
Isosphaera pallida
Fuerstia marisgermanicae
Planctomyces sp. SH-PL62
Planctomyces sp. SH-PL14
Thermogutta terrifontis
Rhodopirellula baltica
Pirellula sp. SH-Sr6A
Pirellula staleyi
Planctopirus limnophila
Rubinisphaera brasiliensis
Gemmata sp. SH-PL17
Gemmata obscuriglobus
PVC group
Candidatus Cloacimonas acidaminovorans
Gemmatirosa kalamazoonesis
Gemmatimonas phototrophica
Gemmatimonas aurantiaca
Fibrobacter succinogenes
Candidatus Cyclonatronum proteinivorum
Melioribacter roseus
Ignavibacterium album
Chloroherpeton thalassium
Prosthecochloris sp. HL-130-GSB
Prosthecochloris sp. CIB 2401
Prosthecochloris sp. GSB1
Prosthecochloris aestuarii
Chlorobaculum parvum
Chlorobaculum limnaeum
Chlorobaculum tepidum
Pelodictyon phaeoclathratiforme
Pelodictyon luteolum
Chlorobium chlorochromatii
Chlorobium phaeobacteroides
Chlorobium phaeovibrioides
Chlorobium limicola
Chlorobium/Pelodictyon group
Bacteroidetes bacterium UKL13-3
Pseudoflavitalea sp. 5GH32-13
Arachidicoccus sp. KIS59-12
Arachidicoccus sp. BS20
Flavisolibacter tropicus
Filimonas lacunae
Niabella ginsenosidivorans
Niabella soli
Niastella koreensis
Chitinophaga caeni
Chitinophaga pinensis
Rhodothermaceae bacterium RA
Salinibacter ruber
Rhodothermus marinus
Haliscomenobacter hydrossis
Saprospira grandis
Sphingobacteriaceae bacterium GW460-11-11-14-LB5
Mucilaginibacter sp. HYN0043
Mucilaginibacter gotjawali
Mucilaginibacter sp. PAMC 26640
Mucilaginibacter sp. BJC16-A31
Pseudopedobacter saltans
Sphingobacterium sp. B29
Sphingobacterium sp. ML3W
Sphingobacterium sp. 21
Sphingobacterium mizutaii
Solitalea canadensis
Pedobacter sp. PACM 27299
Pedobacter steynii
Pedobacter ginsengisoli
Pedobacter cryoconitis
Pedobacter heparinus
Marinifilaceae bacterium SPP2
Salinivirga cyanobacteriivorans
Draconibacterium orientale
Alkalitalea saponilacus
Muribaculum intestinale
Proteiniphilum saccharofermentans
Bacteroidales bacterium CF
Candidatus Azobacteroides pseudotrichonymphae
unclassified Bacteroidales
Barnesiella viscericola
Mucinivorans hirudinis
Alistipes shahii
Alistipes finegoldii
Paludibacter propionicigenes
Odoribacter splanchnicus
Prevotella jejuni
Prevotella sp. oral taxon 299
Prevotella fusca
Prevotella enoeca
Prevotella dentalis
Prevotella melaninogenica
Prevotella intermedia
Prevotella denticola
Prevotella ruminicola
Petrimonas sp. IBARAKI
Petrimonas mucosa
Fermentimonas caenicola
Porphyromonas crevioricanis
Porphyromonas asaccharolytica
Porphyromonas gingivalis
Tannerella sp. oral taxon HOT-286
Tannerella forsythia
Parabacteroides sp. CT06
Parabacteroides distasonis
Bacteroides caecimuris
Bacteroides salanitronis
Bacteroides xylanisolvens
Bacteroides dorei
Bacteroides helcogenes
Bacteroides cellulosilyticus
Bacteroides caccae
Bacteroides zoogleoformans
Bacteroides ovatus
Bacteroides heparinolyticus
Bacteroides vulgatus
Bacteroides thetaiotaomicron
Bacteroides fragilis
Candidatus Walczuchella monophlebidarum
Candidatus Uzinura diaspidicola
Candidatus Sulcia muelleri
unclassified Flavobacteriales
Owenweeksia hongkongensis
Ichthyobacterium seriolicida
Candidatus Fluviicola riflensis
Fluviicola taffensis
Blattabacterium cuenoti
Blattabacterium sp. (Nauphoeta cinerea)
Blattabacterium sp. (Blaberus giganteus)
Blattabacterium sp. (Blattella germanica)
Blattabacterium sp. (Blatta orientalis)
Blattabacterium sp. (Periplaneta americana)
Blattabacterium sp. (Cryptocercus kyebangensis)
Blattabacterium punctulatus
Blattabacterium sp. (Mastotermes darwiniensis)
Kordia sp. SMS9
Aureitalea sp. RR4-38
Tamlana sp. UJ94
Mariniflexile sp. TRM1-10
Seonamhaeicola sp. S2-3
Flavivirga eckloniae
Wenyingzhuangia fucanilytica
Euzebyella marina
Algibacter alginicilyticus
Salegentibacter sp. T436
Aquimarina sp. BL5
Aquimarina sp. AD10
Aquimarina sp. AD1
Lutibacter sp. LPB0138
Lutibacter profundi
Sediminicola sp. YIK13
Flagellimonas sp. HME9304
Lacinutrix sp. Bg11-31
Lacinutrix venerupis
Lacinutrix sp. 5H-3-7-4
Siansivirga zeaxanthinifaciens
Winogradskyella sp. J14-2
Winogradskyella sp. PG-2
Olleya sp. Bg11-27
Olleya aquimaris
Arenibacter algicola
Flavobacteriaceae bacterium UJ101
Flavobacteriaceae bacterium 3519-10
unclassified Flavobacteriaceae
Gramella sp. SH35
Gramella salexigens
Gramella flava
Gramella forsetii
Zunongwangia profunda
Nonlabens sp. MB-3u-79
Nonlabens sp. MIC269
Nonlabens dokdonensis
Nonlabens sediminis
Maribacter sp. T28
Maribacter cobaltidurans
Maribacter sp. HTCC2170
Polaribacter sp. ALD11
Polaribacter vadi
Polaribacter sp. BM10
Polaribacter reichenbachii
Polaribacter sp. MED152
Dokdonia sp. Dokd-P16
Dokdonia sp. 4H-3-7-5
Dokdonia donghaensis
Dokdonia sp. MED134
Croceibacter atlanticus
Robiginitalea biformata
Muricauda lutaonensis
Muricauda ruestringensis
Tenacibaculum todarodis
Tenacibaculum dicentrarchi
Tenacibaculum jejuense
Tenacibaculum maritimum
Aequorivita sublithincola
Myroides sp. A21
Myroides sp. ZB35
Myroides profundi
Myroides odoratimimus
Zobellia galactanivorans
Psychroflexus torquis
Riemerella anatipestifer
Ornithobacterium rhinotracheale
Capnocytophaga sp. H4358
Capnocytophaga stomatis
Capnocytophaga sp. oral taxon 323
Capnocytophaga leadbetteri
Capnocytophaga sp. ChDC OS43
Capnocytophaga haemolytica
Capnocytophaga cynodegmi
Capnocytophaga canimorsus
Capnocytophaga sputigena
Capnocytophaga ochracea
Capnocytophaga gingivalis
Weeksella virosa
Flavobacterium arcticum
Flavobacterium kingsejongi
Flavobacterium gilvum
Flavobacterium faecale
Flavobacterium commune
Flavobacterium anhuiense
Flavobacterium indicum
Flavobacterium psychrophilum
Flavobacterium branchiophilum
Flavobacterium columnare
Flavobacterium johnsoniae
Cellulophaga baltica
Cellulophaga algicola
Cellulophaga lytica
Chryseobacterium sp. 3008163
Chryseobacterium sp. 6424
Chryseobacterium sp. T16E-39
Chryseobacterium sp. IHB B 17019
Chryseobacterium glaciei
Chryseobacterium gallinarum
Chryseobacterium sp. StRB126
Chryseobacterium piperi
Chryseobacterium taklimakanense
Chryseobacterium indologenes
Elizabethkingia ursingii
Elizabethkingia bruuniana
Elizabethkingia anophelis
Elizabethkingia miricola
Elizabethkingia meningoseptica
Chryseolinea sp. KIS68-18
Hymenobacter sp. sh-6
Hymenobacter nivis
Hymenobacter sp. PAMC 26628
