name	taxid
Streptomyces_lavendulae	1914
Streptomyces_lincolnensis	1915
Streptomyces_lividans	1916
Streptomyces_reticuli	1926
Streptomyces_scabiei	1930
Streptomyces_violaceoruber	1935
Streptomyces_albireticuli	1940
Streptomyces_noursei	1971
Streptosporangium_roseum	2001
Thermobispora_bispora	2006
Nocardiopsis_dassonvillei	2014
Thermomonospora_curvata	2020
Thermobifida_fusca	2021
Microbacterium_testaceum	2033
Tropheryma_whipplei	2039
Aeromicrobium_erythreum	2041
Pimelobacter_simplex	2045
Rothia_dentocariosa	2047
Mobiluncus_curtisii	2051
Gordonia_bronchialis	2054
Gordonia_terrae	2055
Sphaerobacter_thermophilus	2057
Tsukamurella_paurometabola	2061
Kitasatospora_setae	2066
Mycoplasma_arginini	2094
Mycoplasma_capricolum	2095
Mycoplasma_gallisepticum	2096
Mycoplasma_genitalium	2097
Mycoplasma_hominis	2098
Mycoplasma_hyopneumoniae	2099
Mycoplasma_hyorhinis	2100
Mycoplasma_mycoides	2102
Mycoplasma_pneumoniae	2104
Mycoplasma_leachii	2105
Mycoplasma_pulmonis	2107
Mycoplasma_synoviae	2109
Mycoplasma_agalactiae	2110
Mycoplasma_arthritidis	2111
Mycoplasma_bovigenitalium	2112
Mycoplasma_californicum	2113
Mycoplasma_fermentans	2115
Mycoplasma_mobile	2118
Mycoplasma_putrefaciens	2123
Mycoplasma_flocculare	2128
Ureaplasma_urealyticum	2130
Spiroplasma_citri	2133
Spiroplasma_apis	2137
Spiroplasma_clarkii	2139
Spiroplasma_mirum	2144
Spiroplasma_taiwanense	2145
Acholeplasma_laidlawii	2148
Mesoplasma_entomophilum	2149
Mesoplasma_florum	2151
Methanobacterium_formicicum	2162
Methanobrevibacter_smithii	2173
Methanohalophilus_mahii	2176
Methanohalophilus_halophilus	2177
Methanothermus_fervidus	2180
Methanococcus_vannielii	2187
Methanococcus_voltae	2188
Methanotorris_igneus	2189
Methanocaldococcus_jannaschii	2190
Methanoculleus_marisnigri	2198
