kegg.code	taxa.id
kpw	573
kpy	573
kpg	573
kpc	573
kpq	573
kpt	573
kpe	573
kpo	573
kpr	573
kpj	573
kpi	573
kpa	573
kps	573
kpx	573
kpb	573
kpne	573
kpnu	573
kpnk	573
573	573
kva	244366
kpk	244366
kvd	244366
kvq	244366
244366	244366
kox	1134687
koe	1134687
koy	1134687
kom	1134687
kmi	1134687
kok	571
koc	571
571	571
kqu	1463165
eae	548
ear	548
548	548
kqv	2026240
474576	474576
1727153	1727153
1182695	1182695
871235	871235
321150	321150
1263083	1263083
cko	545
545	545
cro	67825
cfd	546
546	546
cbra	57706
57706	57706
cwe	67827
67827	67827
cyo	133448
133448	133448
cama	35703
caf	35703
35703	35703
cif	1702170
cfar	67824
cir	1920110
cie	1703250
1367686	1367686
1236704	1236704
gqu	929813
bfl	203907
bpn	101534
bva	251535
bchr	251542
ben	1505597
bed	1505596
hde	138072
sect	1199245
sehc	134287
senm	1835721
rip	401619
rig	1719125
men	1048758
meo	1048758
ebt	563
ror	54291
ron	54291
rpln	575
rao	2259647
cnt	158822
cem	158822
cen	158822
pge	61647
esc	1334193
kle	1334193
ksa	1158459
kor	497725
krd	283686
kco	208223
kgo	73098
73098	73098
51288	51288
1491392	1491392
icp	168169
lax	83655
lei	1920114
leh	1920116
laz	61646
lef	1907578
lni	69220
lew	2153385
lpv	2172103
buf	2479367
sbw	1410383
den	1778262
hed	1778263
ged	1070130
cmik	1778264
ppet	472834
ebf	693444
ebc	1920109
ebu	2052938
psts	891974
ype	632
ypk	632
yph	632
ypa	632
ypn	632
ypm	632
ypp	632
ypg	632
ypz	632
ypt	632
ypd	632
ypx	632
ypw	632
ypj	632
ypv	632
ypl	632
yps	633
ypo	633
ypi	633
ypy	633
ypb	633
ypq	633
ypu	633
ypr	633
ypc	633
ypf	633
633	633
yen	630
yep	630
yey	630
yel	630
yew	630
yet	630
yef	630
yee	630
630	630
ysi	367190
yal	29483
yfr	29484
yin	631
ykr	28152
yro	29485
yru	29486
yrb	29486
yak	263819
yma	419257
spe	28151
srr	82996
srl	82996
sry	82996
sply	82996
srs	768490
sra	768493
ssz	138074
smaf	671990
smw	615
smar	615
smac	615
615	615
slq	614
serf	1327989
sers	488142
sfw	47917
sfg	47917
srz	61652
sera	104623
serm	2033438
616	616
sfo	1639108
rah	741091
raq	34038
raa	34038
rox	1805933
eca	29471
patr	29471
pato	29471
pct	554
pcc	554
pcv	554
554	554
pwa	1905730
ppar	1905730
pec	1905730
pws	55208
ppoa	2042057
sgl	63612
sod	1239307
pes	1486991
seny	1929246
dda	69223
ddd	204038
dze	556
556	556
ddc	204042
dzc	204042
dso	1089444
ced	1089444
ddq	204039
dfn	1778540
bgj	1109412
lbq	1082704
eta	338565
epy	79967
epr	79967
eam	552
eay	552
ebi	182337
erj	215689
ege	1619313
epe	55211
buc	9
bap	9
bau	9
baw	9
bajc	9
bua	9
bup	9
bak	9
buh	9
bapf	9
bapg	9
bapu	9
bapw	9
bas	9
bab	9
bcc	9
baj	9
baph	9
wbr	51229
wgl	51229
pam	553
plf	553
paj	553
paq	553
pva	470934
pagg	470934
pao	592316
kln	1076550
pant	1484158
panp	1484157
hhs	1235990
pck	1235990
pagc	549
549	549
pstw	66269
palh	1891675
pgz	665914
pcd	665913
tci	53336
tpty	82987
plu	2218628
plum	2218628
pay	291112
ptt	230089
pmr	584
pmib	584
pvl	584
584	584
pvg	585
585	585
217617	217617
xbo	40576
xbv	40576
xne	628
xnm	628
xdo	351671
xpo	40577
xho	351679
psi	588
psx	588
psta	588
588	588
prg	587
587	587
pala	126385
phei	333962
prq	2027290
235468	235468
mmk	582
582	582
asy	634113
aen	235559
eic	67780
etr	636
etd	636
ete	1821960
etc	1263550
edw	1578828
edl	1650654
eho	93378
hav	569
569	569
hpar	546367
opo	82983
pfq	82985
lri	158841
kin	1972431
pshi	703
hin	727
hit	727
hip	727
hiq	727
hif	727
hil	727
hiu	727
hie	727
hiz	727
hik	727
hia	727
hih	727
hiw	727
hic	727
hix	727
hpr	729
729	729
hdu	730
hay	712310
hap	738
hpaz	738
hpas	738
hpak	738
gle	2030797
hso	731
hsm	731
pmu	747
pmv	747
pul	747
pmp	747
pmul	747
747	747
pdag	754
msu	157673
mht	75985
mhq	75985
mhat	75985
mhx	75985
mhae	75985
mham	75985
mhao	75985
mhal	75985
mhaq	75985
mhay	75985
mvr	1432056
mvi	85404
mvg	85404
mve	85404
apl	715
apj	715
apa	715
asu	67854
asi	716
ass	716
aeu	718
apor	189834
aap	732
aaz	732
aat	714
aao	714
aan	714
aah	714
aacn	714
aact	714
714	714
gan	750
750	750
bto	47735
btre	47735
btrh	47735
btra	47735
xfa	2371
xft	2371
xfm	2371
xfn	2371
xff	2371
xfl	2371
xfs	2371
xfh	2371
xtw	1444770
xcc	339
xcb	339
xca	339
xcp	339
339	339
xcv	456327
xax	456327
xac	346
xci	346
xct	346
xcj	346
xcu	346
xcn	346
xcw	346
xcr	346
xcm	346
xcf	346
xfu	346
xao	53413
xoo	347
xom	347
xop	347
xoy	347
xor	347
xoz	347
xal	29447
xsa	56458
xtn	343
xfr	48664
xga	90270
xve	56460
xpe	442694
xhr	56454
xph	1985254
xva	56459
230757	230757
sml	40324
smt	40324
buj	40324
smz	40324
40324	40324
sacz	128780
stek	1793721
srh	216778
slm	1904944
sten	2005046
stem	1827305
psu	314722
psuw	314722
psd	415229
lab	84531
laq	84531
lcp	435897
lgu	262324
lez	69
lem	69
69	69
lmb	1605891
lyt	2290922
lum	2006110
lue	2172536
fau	81475
rhd	666685
dji	1379159
dja	231455
dtx	445710
dko	323415
lrz	242606
xba	2021234
vch	666
vcf	666
vcs	666
vce	666
vcq	666
vcj	666
vci	666
vco	666
vcr	666
vcm	666
vcl	666
vcx	666
vcz	666
666	666
vvu	672
vvy	672
vvm	672
vvl	672
vpa	670
vpb	670
vpk	670
vpf	670
vph	670
670	670
vha	680
vca	680
vag	663
vex	150340
vdb	50719
vhr	669
669	669
vna	691
vow	696485
vro	190895
vsp	212663
vej	1116375
vfu	29494
29494	29494
vni	28173
van	55601
lag	55601
vau	55601
55601	55601
vcy	190893
vct	190893
vtu	29498
vfl	676
676	676
vmi	674
vbr	553239
vsc	45658
vga	687
vsh	689
vqi	2025808
vta	52443
671	671
159729	159729
98227	98227
vfi	668
vfm	668
vsa	40269
awd	80852
ppr	74109
pgb	1295392
pds	38293
gho	673
pmai	1755811
pae	287
paev	287
paei	287
pau	287
pap	287
pag	287
paf	287
pnc	287
paeb	287
pdk	287
psg	287
prp	287
paep	287
paer	287
paem	287
pael	287
paes	287
paeu	287
paeg	287
paec	287
paeo	287
287	287
pmy	300
pmk	300
pre	53412
ppse	330
330	330
palc	43263
43263	43263
pcq	53408
ppu	303
ppf	303
ppg	303
ppw	303
ppt	303
ppb	303
ppi	303
ppx	303
ppuh	303
pput	303
ppun	303
ppud	303
303	303
pfv	47880
pmon	76759
pmot	76759
pmos	1306993
ppj	70775
por	47885
pst	251701
psb	317
psyr	317
317	317
psp	29438
29438	29438
pamg	47877
pci	36746
pavl	46257
pfl	380021
pprc	380021
ppro	380021
pfo	294
pfs	294
pfe	294
pfc	294
pfn	294
pfw	294
pff	294
pfx	294
294	294
ppz	200451
pfb	47883
pman	75612
ptv	200450
pcg	47879
pvr	76761
pazo	47878
47878	47878
poi	76758
pen	312306
psa	316
psz	316
psr	316
psc	316
psj	316
psh	316
pstu	316
pstt	316
316	316
pbm	74829
pba	930166
pbc	930166
ppuu	1207075
pdr	1294143
psv	69328
psk	1415630
pkc	65741
pch	587753
pcz	587753
pcp	587753
587753	587753
pfz	296
plq	86185
palk	237609
prh	216142
psw	157783
ppv	157782
pses	1028989
psem	1611770
psec	1649877
ppsy	1788301
psos	1500686
pkr	198620
pfk	104087
panr	219572
ppsl	237610
pset	1856685
psil	1853130
53406	53406
882211	882211
43306	43306
47881	47881
765715	765715
163360	163360
879273	879273
258476	258476
266807	266807
430441	430441
165468	165468
1573452	1573452
306	306
avn	354
avl	354
avd	354
acx	353
pbb	1697053
par	334543
pcr	330922
prw	349106
pso	571800
pur	45610
pali	261164
pspg	1699622
psyg	1699624
psyc	1028416
psya	1720344
psyy	2203895
256325	256325
acb	470
abm	470
aby	470
abc	470
abn	470
abb	470
abx	470
abz	470
abr	470
abd	470
abh	470
abad	470
abj	470
abab	470
abaj	470
abaz	470
abk	470
abau	470
abaa	470
abw	470
abal	470
470	470
acc	48296
48296	48296
ano	106654
106654	106654
alc	1785128
acal	471
471	471
72607	72607
acd	1148157
aci	62977
62977	62977
att	1646498
aei	1324350
ajo	40214
40214	40214
acw	1809055
acv	1407071
ahl	29430
29430	29430
ajn	40215
asol	487316
487316	487316
ala	1789224
asj	108981
108981	108981
aid	756892
adv	1871111
arj	40216
40216	40216
106648	106648
1435036	1435036
202951	202951
280145	280145
70348	70348
70347	70347
202952	202952
106649	106649
28090	28090
134533	134533
70349	70349
70350	70350
1217701	1217701
1217707	1217707
1217703	1217703
70351	70351
1144662	1144662
1144670	1144670
1144672	1144672
1217694	1217694
1144673	1144673
1217700	1217700
40373	40373
309867	309867
1882739	1882739
1882738	1882738
1882740	1882740
93373	93373
1217697	1217697
1217702	1217702
1217708	1217708
1217706	1217706
1217692	1217692
1217698	1217698
1217688	1217688
1217712	1217712
1217713	1217713
520708	520708
278934	278934
70346	70346
52133	52133
1182652	1182652
mct	480
mcs	480
mcat	480
moi	29433
mos	34062
mbl	386891
mboi	476
mbah	2283318
son	70863
70863	70863
sdn	192073
sfr	56812
saz	60478
sbl	62322
sbm	62322
sbn	62322
sbp	62322
sbt	62322
sbs	62322
sbb	62322
62322	62322
slo	359303
spc	24
shp	24
sse	271097
spl	70864
she	60480
shm	60481
shn	94122
shw	351745
shl	271098
swd	60961
swp	404011
svo	60217
shf	1930557
1930557	1930557
sja	93973
spsw	225848
